"year","zone","awards","level","stage","measure","value"
"2012-2013","S01001803","3","6 And Above","S6","Count",1
"2010-2011","S01001803","1","7 And Above","S6","Count",0
"2011-2012","S01001803","5","6 And Above","S6","Ratio",0
"2008-2009","S01001803","1","7 And Above","S6","Ratio",0
"2009-2010","S01001803","5","6 And Above","S6","Ratio",0
"2010-2011","S01001803","5","6 And Above","S6","Ratio",0
"2011-2012","S01001803","1","7 And Above","S6","Count",0
"2012-2013","S01001803","1","7 And Above","S6","Ratio",100
"2010-2011","S01001803","5","5 And Above","S4","Count",0
"2011-2012","S01001803","5","5 And Above","S4","Count",0
"2008-2009","S01001803","5","5 And Above","S4","Count",0
"2009-2010","S01001803","5","5 And Above","S4","Count",0
"2011-2012","S01001803","5","3 And Above","S4","Count",0
"2008-2009","S01001803","5","3 And Above","S4","Count",0
"2009-2010","S01001803","5","3 And Above","S4","Count",0
"2010-2011","S01001803","5","3 And Above","S4","Count",0
"2012-2013","S01001803","5","3 And Above","S4","Count",0
"2010-2011","S01001803","5","4 And Above","S4","Count",0
"2008-2009","S01001803","5","4 And Above","S4","Count",0
"2011-2012","S01001803","5","4 And Above","S4","Count",0
"2009-2010","S01001803","5","4 And Above","S4","Count",0
"2012-2013","S01001803","5","4 And Above","S4","Count",0
"2012-2013","S01001803","5","5 And Above","S4","Count",0
"2011-2012","S01001803","5","3 And Above","S4","Ratio",0
"2011-2012","S01001803","5","4 And Above","S4","Ratio",0
"2009-2010","S01001803","5","4 And Above","S4","Ratio",0
"2008-2009","S01001803","5","4 And Above","S4","Ratio",0
"2010-2011","S01001803","5","4 And Above","S4","Ratio",0
"2009-2010","S01001803","5","5 And Above","S4","Ratio",0
"2011-2012","S01001803","5","5 And Above","S4","Ratio",0
"2010-2011","S01001803","5","5 And Above","S4","Ratio",0
"2008-2009","S01001803","5","5 And Above","S4","Ratio",0
"2009-2010","S01001803","5","3 And Above","S4","Ratio",0
"2010-2011","S01001803","5","3 And Above","S4","Ratio",0
"2008-2009","S01001803","5","3 And Above","S4","Ratio",0
"2009-2010","S01001803","5","6 And Above","S5","Ratio",0
"2012-2013","S01001803","1","6 And Above","S5","Count",0
"2011-2012","S01001803","1","6 And Above","S5","Count",1
"2011-2012","S01001803","5","6 And Above","S5","Ratio",0
"2012-2013","S01001803","5","6 And Above","S5","Ratio",0
"2011-2012","S01001803","3","6 And Above","S5","Count",1
"2009-2010","S01001803","5","6 And Above","S5","Count",0
"2012-2013","S01001803","1","6 And Above","S5","Ratio",0
"2008-2009","S01001803","3","6 And Above","S5","Count",0
"2011-2012","S01001803","1","6 And Above","S5","Ratio",100
"2010-2011","S01001803","5","6 And Above","S5","Count",0
"2009-2010","S01001803","1","6 And Above","S5","Ratio",0
"2010-2011","S01001803","1","6 And Above","S5","Ratio",0
"2012-2013","S01001803","5","6 And Above","S5","Count",0
"2012-2013","S01001803","3","6 And Above","S5","Count",0
"2010-2011","S01001803","5","6 And Above","S5","Ratio",0
"2011-2012","S01001803","5","6 And Above","S5","Count",0
"2008-2009","S01001803","1","6 And Above","S5","Ratio",0
"2008-2009","S01001803","3","6 And Above","S5","Ratio",0
"2008-2009","S01001803","5","6 And Above","S5","Count",0
"2008-2009","S01001803","1","6 And Above","S5","Count",0
"2011-2012","S01001803","3","6 And Above","S5","Ratio",100
"2010-2011","S01001803","3","6 And Above","S5","Ratio",0
"2009-2010","S01001803","3","6 And Above","S5","Count",0
"2012-2013","S01001803","3","6 And Above","S5","Ratio",0
"2009-2010","S01001803","3","6 And Above","S5","Ratio",0
"2010-2011","S01001803","1","6 And Above","S5","Count",0
"2009-2010","S01001803","1","6 And Above","S5","Count",0
"2010-2011","S01001803","3","6 And Above","S5","Count",0
"2008-2009","S01001803","5","6 And Above","S5","Ratio",0
"2011-2012","S01001804","3","6 And Above","S5","Count",0
"2009-2010","S01001804","3","6 And Above","S5","Count",0
"2012-2013","S01001804","3","6 And Above","S5","Count",0
"2010-2011","S01001804","3","6 And Above","S6","Count",0
"2009-2010","S01001804","3","6 And Above","S6","Count",0
"2008-2009","S01001804","3","6 And Above","S6","Count",0
"2008-2009","S01001804","3","6 And Above","S5","Count",0
"2011-2012","S01001804","3","6 And Above","S6","Count",0
"2009-2010","S01001804","5","6 And Above","S6","Count",0
"2012-2013","S01001804","5","6 And Above","S6","Count",0
"2008-2009","S01001804","5","6 And Above","S6","Count",0
"2008-2009","S01001804","5","6 And Above","S5","Count",0
"2011-2012","S01001804","5","6 And Above","S5","Count",0
"2010-2011","S01001804","5","6 And Above","S5","Count",0
"2012-2013","S01001804","5","6 And Above","S5","Count",0
"2011-2012","S01001804","5","4 And Above","S4","Count",0
"2012-2013","S01001804","5","4 And Above","S4","Count",0
"2010-2011","S01001804","5","4 And Above","S4","Count",0
"2008-2009","S01001804","5","4 And Above","S4","Count",0
"2010-2011","S01001804","5","5 And Above","S4","Count",0
"2011-2012","S01001804","5","5 And Above","S4","Count",0
"2009-2010","S01001804","5","5 And Above","S4","Count",0
"2012-2013","S01001804","5","5 And Above","S4","Count",0
"2008-2009","S01001804","5","5 And Above","S4","Count",0
"2009-2010","S01001804","5","6 And Above","S5","Count",0
"2011-2012","S01001804","5","6 And Above","S6","Count",0
"2010-2011","S01001804","5","6 And Above","S6","Count",0
"2012-2013","S01001804","5","3 And Above","S4","Count",1
"2009-2010","S01001804","5","3 And Above","S4","Count",0
"2008-2009","S01001804","5","3 And Above","S4","Count",0
"2011-2012","S01001804","5","3 And Above","S4","Count",0
"2010-2011","S01001804","5","3 And Above","S4","Count",0
"2009-2010","S01001804","5","4 And Above","S4","Count",0
"2012-2013","S01001804","1","7 And Above","S6","Count",0
"2012-2013","S01001804","1","6 And Above","S5","Count",0
"2009-2010","S01001804","1","6 And Above","S5","Count",0
"2009-2010","S01001804","1","7 And Above","S6","Count",0
"2010-2011","S01001804","1","6 And Above","S5","Count",0
"2011-2012","S01001804","1","7 And Above","S6","Count",0
"2010-2011","S01001804","1","7 And Above","S6","Count",0
"2011-2012","S01001804","1","6 And Above","S5","Count",0
"2008-2009","S01001804","1","6 And Above","S5","Count",0
"2008-2009","S01001804","1","7 And Above","S6","Count",0
"2012-2013","S01001804","3","6 And Above","S6","Count",0
"2010-2011","S01001804","3","6 And Above","S5","Count",0
"2012-2013","S01001804","3","6 And Above","S6","Ratio",0
"2008-2009","S01001804","3","6 And Above","S5","Ratio",0
"2011-2012","S01001804","3","6 And Above","S5","Ratio",0
"2009-2010","S01001804","3","6 And Above","S6","Ratio",0
"2008-2009","S01001804","1","7 And Above","S6","Ratio",0
"2010-2011","S01001804","5","5 And Above","S4","Ratio",0
"2010-2011","S01001804","3","6 And Above","S5","Ratio",0
"2009-2010","S01001804","5","5 And Above","S4","Ratio",0
"2008-2009","S01001804","5","5 And Above","S4","Ratio",0
"2011-2012","S01001804","5","3 And Above","S4","Ratio",0
"2008-2009","S01001804","3","6 And Above","S6","Ratio",0
"2009-2010","S01001804","3","6 And Above","S5","Ratio",0
"2012-2013","S01001804","5","5 And Above","S4","Ratio",0
"2011-2012","S01001804","5","5 And Above","S4","Ratio",0
"2011-2012","S01001804","3","6 And Above","S6","Ratio",0
"2011-2012","S01001804","1","6 And Above","S5","Ratio",0
"2010-2011","S01001804","3","6 And Above","S6","Ratio",0
"2009-2010","S01001804","1","6 And Above","S5","Ratio",0
"2011-2012","S01001804","5","6 And Above","S6","Ratio",0
"2009-2010","S01001804","5","6 And Above","S6","Ratio",0
"2010-2011","S01001804","5","6 And Above","S5","Ratio",0
"2012-2013","S01001804","5","6 And Above","S6","Ratio",0
"2008-2009","S01001804","5","6 And Above","S5","Ratio",0
"2008-2009","S01001804","5","6 And Above","S6","Ratio",0
"2008-2009","S01001804","1","6 And Above","S5","Ratio",0
"2010-2011","S01001804","5","6 And Above","S6","Ratio",0
"2010-2011","S01001804","1","7 And Above","S6","Ratio",0
"2011-2012","S01001804","5","6 And Above","S5","Ratio",0
"2008-2009","S01001804","5","3 And Above","S4","Ratio",0
"2012-2013","S01001804","5","3 And Above","S4","Ratio",100
"2009-2010","S01001804","5","6 And Above","S5","Ratio",0
"2009-2010","S01001804","5","4 And Above","S4","Ratio",0
"2011-2012","S01001804","1","7 And Above","S6","Ratio",0
"2011-2012","S01001804","5","4 And Above","S4","Ratio",0
"2012-2013","S01001804","5","4 And Above","S4","Ratio",0
"2009-2010","S01001804","5","3 And Above","S4","Ratio",0
"2012-2013","S01001804","1","7 And Above","S6","Ratio",0
"2010-2011","S01001804","5","4 And Above","S4","Ratio",0
"2009-2010","S01001804","1","7 And Above","S6","Ratio",0
"2008-2009","S01001804","5","4 And Above","S4","Ratio",0
"2010-2011","S01001804","5","3 And Above","S4","Ratio",0
"2010-2011","S01001804","1","6 And Above","S5","Ratio",0
"2012-2013","S01001805","3","6 And Above","S6","Count",0
"2011-2012","S01001805","3","6 And Above","S6","Count",1
"2008-2009","S01001805","3","6 And Above","S5","Count",0
"2008-2009","S01001805","3","6 And Above","S6","Count",0
"2012-2013","S01001805","5","6 And Above","S6","Count",0
"2009-2010","S01001805","5","6 And Above","S6","Count",0
"2010-2011","S01001805","5","6 And Above","S5","Count",0
"2008-2009","S01001805","5","6 And Above","S5","Count",0
"2009-2010","S01001805","5","6 And Above","S5","Count",0
"2011-2012","S01001805","5","6 And Above","S5","Count",0
"2010-2011","S01001805","5","3 And Above","S4","Count",0
"2008-2009","S01001805","5","4 And Above","S4","Count",0
"2009-2010","S01001805","5","4 And Above","S4","Count",0
"2010-2011","S01001805","5","4 And Above","S4","Count",0
"2011-2012","S01001805","5","4 And Above","S4","Count",0
"2012-2013","S01001805","5","4 And Above","S4","Count",0
"2009-2010","S01001805","5","5 And Above","S4","Count",0
"2008-2009","S01001805","5","5 And Above","S4","Count",0
"2010-2011","S01001805","5","5 And Above","S4","Count",0
"2011-2012","S01001805","5","5 And Above","S4","Count",0
"2012-2013","S01001805","5","5 And Above","S4","Count",0
"2012-2013","S01001805","5","6 And Above","S5","Count",0
"2010-2011","S01001805","5","6 And Above","S6","Count",0
"2008-2009","S01001805","5","6 And Above","S6","Count",0
"2011-2012","S01001805","5","6 And Above","S6","Count",1
"2009-2010","S01001805","5","3 And Above","S4","Count",0
"2012-2013","S01001805","5","3 And Above","S4","Count",0
"2008-2009","S01001805","5","3 And Above","S4","Count",0
"2011-2012","S01001805","5","3 And Above","S4","Count",1
"2011-2012","S01001805","1","6 And Above","S5","Count",0
"2009-2010","S01001805","1","7 And Above","S6","Count",0
"2012-2013","S01001805","1","6 And Above","S5","Count",0
"2009-2010","S01001805","1","6 And Above","S5","Count",0
"2008-2009","S01001805","1","7 And Above","S6","Count",0
"2008-2009","S01001805","1","6 And Above","S5","Count",0
"2011-2012","S01001805","1","7 And Above","S6","Count",0
"2012-2013","S01001805","1","7 And Above","S6","Count",0
"2010-2011","S01001805","1","6 And Above","S5","Count",0
"2010-2011","S01001805","1","7 And Above","S6","Count",0
"2010-2011","S01001805","3","6 And Above","S6","Count",0
"2009-2010","S01001805","3","6 And Above","S5","Count",0
"2012-2013","S01001805","3","6 And Above","S5","Count",0
"2009-2010","S01001805","3","6 And Above","S6","Count",0
"2011-2012","S01001805","3","6 And Above","S5","Count",0
"2010-2011","S01001805","3","6 And Above","S5","Count",0
"2010-2011","S01001805","3","6 And Above","S6","Ratio",0
"2011-2012","S01001805","5","4 And Above","S4","Ratio",0
"2008-2009","S01001805","1","7 And Above","S6","Ratio",0
"2011-2012","S01001805","3","6 And Above","S6","Ratio",100
"2009-2010","S01001805","5","5 And Above","S4","Ratio",0
"2009-2010","S01001805","3","6 And Above","S5","Ratio",0
"2010-2011","S01001805","3","6 And Above","S5","Ratio",0
"2012-2013","S01001805","3","6 And Above","S5","Ratio",0
"2011-2012","S01001805","3","6 And Above","S5","Ratio",0
"2008-2009","S01001805","5","3 And Above","S4","Ratio",0
"2008-2009","S01001805","3","6 And Above","S6","Ratio",0
"2009-2010","S01001805","5","3 And Above","S4","Ratio",0
"2008-2009","S01001805","5","5 And Above","S4","Ratio",0
"2011-2012","S01001805","1","7 And Above","S6","Ratio",0
"2011-2012","S01001805","5","5 And Above","S4","Ratio",0
"2010-2011","S01001805","5","5 And Above","S4","Ratio",0
"2009-2010","S01001805","3","6 And Above","S6","Ratio",0
"2010-2011","S01001805","1","6 And Above","S5","Ratio",0
"2008-2009","S01001805","3","6 And Above","S5","Ratio",0
"2010-2011","S01001805","5","6 And Above","S6","Ratio",0
"2009-2010","S01001805","1","7 And Above","S6","Ratio",0
"2012-2013","S01001805","5","6 And Above","S5","Ratio",0
"2009-2010","S01001805","5","6 And Above","S6","Ratio",0
"2010-2011","S01001805","5","6 And Above","S5","Ratio",0
"2012-2013","S01001805","1","6 And Above","S5","Ratio",0
"2011-2012","S01001805","1","6 And Above","S5","Ratio",0
"2008-2009","S01001805","5","6 And Above","S5","Ratio",0
"2008-2009","S01001805","1","6 And Above","S5","Ratio",0
"2009-2010","S01001805","5","6 And Above","S5","Ratio",0
"2011-2012","S01001805","5","6 And Above","S5","Ratio",0
"2010-2011","S01001805","1","7 And Above","S6","Ratio",0
"2008-2009","S01001805","5","6 And Above","S6","Ratio",0
"2011-2012","S01001805","5","6 And Above","S6","Ratio",100
"2010-2011","S01001805","5","3 And Above","S4","Ratio",0
"2009-2010","S01001805","5","4 And Above","S4","Ratio",0
"2011-2012","S01001805","5","3 And Above","S4","Ratio",100
"2010-2011","S01001805","5","4 And Above","S4","Ratio",0
"2009-2010","S01001805","1","6 And Above","S5","Ratio",0
"2008-2009","S01001805","5","4 And Above","S4","Ratio",0
"2008-2009","S01001806","3","6 And Above","S5","Count",0
"2011-2012","S01001806","3","6 And Above","S5","Count",0
"2011-2012","S01001806","3","6 And Above","S6","Count",0
"2010-2011","S01001806","3","6 And Above","S6","Count",0
"2009-2010","S01001806","3","6 And Above","S5","Count",0
"2012-2013","S01001806","3","6 And Above","S5","Count",0
"2009-2010","S01001806","3","6 And Above","S6","Count",0
"2010-2011","S01001806","3","6 And Above","S5","Count",0
"2008-2009","S01001806","5","6 And Above","S6","Count",0
"2011-2012","S01001806","5","6 And Above","S6","Count",0
"2009-2010","S01001806","5","6 And Above","S6","Count",0
"2012-2013","S01001806","5","6 And Above","S6","Count",0
"2010-2011","S01001806","5","6 And Above","S5","Count",0
"2008-2009","S01001806","5","6 And Above","S5","Count",0
"2009-2010","S01001806","5","6 And Above","S5","Count",0
"2011-2012","S01001806","5","6 And Above","S5","Count",0
"2012-2013","S01001806","5","6 And Above","S5","Count",0
"2009-2010","S01001806","1","6 And Above","S5","Count",0
"2012-2013","S01001806","1","6 And Above","S5","Count",0
"2011-2012","S01001806","1","6 And Above","S5","Count",0
"2010-2011","S01001806","1","6 And Above","S5","Count",0
"2008-2009","S01001806","1","6 And Above","S5","Count",0
"2012-2013","S01001806","3","6 And Above","S6","Count",0
"2008-2009","S01001806","3","6 And Above","S6","Count",0
"2009-2010","S01001806","3","6 And Above","S6","Ratio",0
"2008-2009","S01001806","3","6 And Above","S6","Ratio",0
"2010-2011","S01001806","3","6 And Above","S5","Ratio",0
"2009-2010","S01001806","5","6 And Above","S5","Ratio",0
"2011-2012","S01001806","3","6 And Above","S5","Ratio",0
"2010-2011","S01001806","3","6 And Above","S6","Ratio",0
"2011-2012","S01001806","5","6 And Above","S6","Ratio",0
"2011-2012","S01001806","1","6 And Above","S5","Ratio",0
"2009-2010","S01001806","3","6 And Above","S5","Ratio",0
"2009-2010","S01001806","5","6 And Above","S6","Ratio",0
"2011-2012","S01001806","5","6 And Above","S5","Ratio",0
"2011-2012","S01001806","3","6 And Above","S6","Ratio",0
"2008-2009","S01001806","3","6 And Above","S5","Ratio",0
"2012-2013","S01001806","3","6 And Above","S5","Ratio",0
"2008-2009","S01001806","1","6 And Above","S5","Ratio",0
"2012-2013","S01001806","5","6 And Above","S5","Ratio",0
"2012-2013","S01001806","1","6 And Above","S5","Ratio",0
"2009-2010","S01001806","1","6 And Above","S5","Ratio",0
"2010-2011","S01001806","5","6 And Above","S5","Ratio",0
"2010-2011","S01001806","1","6 And Above","S5","Ratio",0
"2010-2011","S01001806","5","6 And Above","S6","Ratio",0
"2008-2009","S01001806","5","6 And Above","S5","Ratio",0
"2008-2009","S01001806","5","6 And Above","S6","Ratio",0
"2010-2011","S01001806","5","6 And Above","S6","Count",0
"2011-2012","S01001806","1","7 And Above","S6","Ratio",0
"2012-2013","S01001806","1","7 And Above","S6","Count",0
"2008-2009","S01001806","1","7 And Above","S6","Ratio",0
"2010-2011","S01001806","1","7 And Above","S6","Count",0
"2009-2010","S01001806","1","7 And Above","S6","Ratio",0
"2009-2010","S01001806","1","7 And Above","S6","Count",0
"2011-2012","S01001806","1","7 And Above","S6","Count",0
"2010-2011","S01001806","1","7 And Above","S6","Ratio",0
"2008-2009","S01001806","1","7 And Above","S6","Count",0
"2010-2011","S01001806","5","3 And Above","S4","Count",0
"2011-2012","S01001806","5","3 And Above","S4","Ratio",0
"2012-2013","S01001806","5","3 And Above","S4","Count",4
"2012-2013","S01001806","5","3 And Above","S4","Ratio",100
"2010-2011","S01001806","5","3 And Above","S4","Ratio",0
"2009-2010","S01001806","5","3 And Above","S4","Count",0
"2011-2012","S01001806","5","3 And Above","S4","Count",0
"2008-2009","S01001806","5","3 And Above","S4","Count",0
"2008-2009","S01001806","5","3 And Above","S4","Ratio",0
"2009-2010","S01001806","5","3 And Above","S4","Ratio",0
"2009-2010","S01001806","5","4 And Above","S4","Count",0
"2012-2013","S01001806","5","4 And Above","S4","Ratio",100
"2008-2009","S01001806","5","4 And Above","S4","Ratio",0
"2010-2011","S01001806","5","4 And Above","S4","Count",0
"2010-2011","S01001806","5","4 And Above","S4","Ratio",0
"2012-2013","S01001806","5","4 And Above","S4","Count",4
"2011-2012","S01001806","5","4 And Above","S4","Count",0
"2009-2010","S01001806","5","4 And Above","S4","Ratio",0
"2011-2012","S01001806","5","4 And Above","S4","Ratio",0
"2008-2009","S01001806","5","4 And Above","S4","Count",0
"2012-2013","S01001806","5","5 And Above","S4","Count",1
"2009-2010","S01001806","5","5 And Above","S4","Count",0
"2010-2011","S01001806","5","5 And Above","S4","Count",0
"2011-2012","S01001806","5","5 And Above","S4","Count",0
"2008-2009","S01001806","5","5 And Above","S4","Count",0
"2011-2012","S01001806","5","5 And Above","S4","Ratio",0
"2009-2010","S01001806","5","5 And Above","S4","Ratio",0
"2010-2011","S01001806","5","5 And Above","S4","Ratio",0
"2008-2009","S01001806","5","5 And Above","S4","Ratio",0
"2012-2013","S01001806","5","5 And Above","S4","Ratio",25
"2008-2009","S01001807","3","6 And Above","S6","Ratio",0
"2012-2013","S01001807","3","6 And Above","S6","Ratio",100
"2010-2011","S01001807","3","6 And Above","S6","Ratio",0
"2011-2012","S01001807","3","6 And Above","S6","Ratio",0
"2011-2012","S01001807","3","6 And Above","S5","Count",0
"2009-2010","S01001807","3","6 And Above","S6","Count",0
"2012-2013","S01001807","3","6 And Above","S5","Ratio",0
"2012-2013","S01001807","3","6 And Above","S5","Count",0
"2008-2009","S01001807","3","6 And Above","S6","Count",0
"2012-2013","S01001807","3","6 And Above","S6","Count",1
"2009-2010","S01001807","3","6 And Above","S5","Count",0
"2011-2012","S01001807","3","6 And Above","S5","Ratio",0
"2008-2009","S01001807","3","6 And Above","S5","Count",0
"2010-2011","S01001807","3","6 And Above","S5","Count",0
"2008-2009","S01001807","3","6 And Above","S5","Ratio",0
"2010-2011","S01001807","3","6 And Above","S5","Ratio",0
"2011-2012","S01001807","3","6 And Above","S6","Count",0
"2009-2010","S01001807","3","6 And Above","S5","Ratio",0
"2010-2011","S01001807","3","6 And Above","S6","Count",0
"2009-2010","S01001807","3","6 And Above","S6","Ratio",0
"2010-2011","S01001807","5","5 And Above","S4","Count",0
"2009-2010","S01001807","5","5 And Above","S4","Count",0
"2012-2013","S01001807","5","5 And Above","S4","Count",0
"2011-2012","S01001807","5","5 And Above","S4","Count",0
"2008-2009","S01001807","5","5 And Above","S4","Count",0
"2011-2012","S01001807","5","6 And Above","S6","Ratio",0
"2009-2010","S01001807","5","6 And Above","S6","Count",0
"2012-2013","S01001807","5","6 And Above","S6","Count",1
"2008-2009","S01001807","5","6 And Above","S6","Count",0
"2008-2009","S01001807","5","6 And Above","S5","Count",0
"2011-2012","S01001807","5","6 And Above","S5","Count",0
"2012-2013","S01001807","5","6 And Above","S5","Count",0
"2009-2010","S01001807","5","6 And Above","S5","Count",0
"2010-2011","S01001807","5","6 And Above","S5","Count",0
"2011-2012","S01001807","5","6 And Above","S6","Count",0
"2010-2011","S01001807","5","6 And Above","S6","Count",0
"2012-2013","S01001807","5","3 And Above","S4","Count",3
"2009-2010","S01001807","5","3 And Above","S4","Count",0
"2008-2009","S01001807","5","3 And Above","S4","Count",0
"2010-2011","S01001807","5","3 And Above","S4","Count",0
"2011-2012","S01001807","5","3 And Above","S4","Count",0
"2009-2010","S01001807","5","4 And Above","S4","Count",0
"2011-2012","S01001807","5","4 And Above","S4","Count",0
"2012-2013","S01001807","5","4 And Above","S4","Count",2
"2010-2011","S01001807","5","4 And Above","S4","Count",0
"2008-2009","S01001807","5","4 And Above","S4","Count",0
"2008-2009","S01001807","5","6 And Above","S6","Ratio",0
"2008-2009","S01001807","5","6 And Above","S5","Ratio",0
"2008-2009","S01001807","5","5 And Above","S4","Ratio",0
"2009-2010","S01001807","5","4 And Above","S4","Ratio",0
"2011-2012","S01001807","5","4 And Above","S4","Ratio",0
"2011-2012","S01001807","5","6 And Above","S5","Ratio",0
"2011-2012","S01001807","5","5 And Above","S4","Ratio",0
"2012-2013","S01001807","5","4 And Above","S4","Ratio","66.7"
"2012-2013","S01001807","5","6 And Above","S5","Ratio",0
"2009-2010","S01001807","5","6 And Above","S5","Ratio",0
"2008-2009","S01001807","5","3 And Above","S4","Ratio",0
"2012-2013","S01001807","5","3 And Above","S4","Ratio",100
"2012-2013","S01001807","5","5 And Above","S4","Ratio",0
"2010-2011","S01001807","5","6 And Above","S5","Ratio",0
"2009-2010","S01001807","5","3 And Above","S4","Ratio",0
"2010-2011","S01001807","5","5 And Above","S4","Ratio",0
"2010-2011","S01001807","5","4 And Above","S4","Ratio",0
"2010-2011","S01001807","5","3 And Above","S4","Ratio",0
"2011-2012","S01001807","5","3 And Above","S4","Ratio",0
"2010-2011","S01001807","5","6 And Above","S6","Ratio",0
"2009-2010","S01001807","5","5 And Above","S4","Ratio",0
"2012-2013","S01001807","5","6 And Above","S6","Ratio",100
"2008-2009","S01001807","5","4 And Above","S4","Ratio",0
"2009-2010","S01001807","5","6 And Above","S6","Ratio",0
"2008-2009","S01001807","1","7 And Above","S6","Count",0
"2010-2011","S01001807","1","7 And Above","S6","Count",0
"2011-2012","S01001807","1","6 And Above","S5","Ratio",0
"2009-2010","S01001807","1","6 And Above","S5","Count",0
"2011-2012","S01001807","1","7 And Above","S6","Count",0
"2010-2011","S01001807","1","6 And Above","S5","Ratio",0
"2011-2012","S01001807","1","6 And Above","S5","Count",0
"2012-2013","S01001807","1","7 And Above","S6","Ratio",100
"2009-2010","S01001807","1","7 And Above","S6","Count",0
"2012-2013","S01001807","1","7 And Above","S6","Count",1
"2010-2011","S01001807","1","7 And Above","S6","Ratio",0
"2009-2010","S01001807","1","6 And Above","S5","Ratio",0
"2010-2011","S01001807","1","6 And Above","S5","Count",0
"2008-2009","S01001807","1","6 And Above","S5","Ratio",0
"2011-2012","S01001807","1","7 And Above","S6","Ratio",0
"2009-2010","S01001807","1","7 And Above","S6","Ratio",0
"2008-2009","S01001807","1","7 And Above","S6","Ratio",0
"2012-2013","S01001807","1","6 And Above","S5","Ratio",0
"2012-2013","S01001807","1","6 And Above","S5","Count",0
"2008-2009","S01001807","1","6 And Above","S5","Count",0
"2009-2010","S01001808","5","6 And Above","S6","Count",0
"2010-2011","S01001808","5","5 And Above","S4","Count",0
"2011-2012","S01001808","3","6 And Above","S5","Count",0
"2012-2013","S01001808","5","6 And Above","S6","Count",0
"2011-2012","S01001808","5","5 And Above","S4","Count",0
"2012-2013","S01001808","5","5 And Above","S4","Count",0
"2010-2011","S01001808","5","6 And Above","S5","Count",0
"2012-2013","S01001808","5","6 And Above","S5","Count",0
"2010-2011","S01001808","3","6 And Above","S5","Count",0
"2010-2011","S01001808","5","6 And Above","S6","Count",0
"2008-2009","S01001808","5","6 And Above","S5","Count",0
"2008-2009","S01001808","5","6 And Above","S6","Count",0
"2009-2010","S01001808","3","6 And Above","S5","Count",0
"2012-2013","S01001808","5","3 And Above","S4","Count",1
"2009-2010","S01001808","5","6 And Above","S5","Count",0
"2011-2012","S01001808","5","3 And Above","S4","Count",1
"2009-2010","S01001808","5","3 And Above","S4","Count",0
"2008-2009","S01001808","3","6 And Above","S6","Count",0
"2011-2012","S01001808","5","6 And Above","S5","Count",0
"2008-2009","S01001808","5","3 And Above","S4","Count",0
"2010-2011","S01001808","5","4 And Above","S4","Count",0
"2010-2011","S01001808","5","3 And Above","S4","Count",0
"2011-2012","S01001808","5","4 And Above","S4","Count",0
"2012-2013","S01001808","5","4 And Above","S4","Count",0
"2011-2012","S01001808","1","6 And Above","S5","Count",0
"2008-2009","S01001808","1","7 And Above","S6","Count",0
"2012-2013","S01001808","1","6 And Above","S5","Count",1
"2008-2009","S01001808","5","4 And Above","S4","Count",0
"2011-2012","S01001808","1","7 And Above","S6","Count",0
"2009-2010","S01001808","5","4 And Above","S4","Count",0
"2009-2010","S01001808","1","6 And Above","S5","Count",0
"2009-2010","S01001808","3","6 And Above","S6","Count",0
"2009-2010","S01001808","1","7 And Above","S6","Count",0
"2012-2013","S01001808","3","6 And Above","S5","Count",0
"2012-2013","S01001808","3","6 And Above","S6","Count",0
"2008-2009","S01001808","1","6 And Above","S5","Count",0
"2012-2013","S01001808","1","7 And Above","S6","Count",0
"2008-2009","S01001808","3","6 And Above","S5","Count",0
"2010-2011","S01001808","1","6 And Above","S5","Count",0
"2011-2012","S01001808","3","6 And Above","S6","Count",1
"2010-2011","S01001808","1","7 And Above","S6","Count",0
"2008-2009","S01001808","5","5 And Above","S4","Count",0
"2009-2010","S01001808","5","5 And Above","S4","Count",0
"2011-2012","S01001808","5","6 And Above","S6","Count",0
"2010-2011","S01001808","3","6 And Above","S6","Count",0
"2010-2011","S01001808","3","6 And Above","S6","Ratio",0
"2008-2009","S01001808","3","6 And Above","S5","Ratio",0
"2012-2013","S01001808","3","6 And Above","S5","Ratio",0
"2009-2010","S01001808","3","6 And Above","S5","Ratio",0
"2011-2012","S01001808","3","6 And Above","S5","Ratio",0
"2011-2012","S01001808","3","6 And Above","S6","Ratio",100
"2010-2011","S01001808","3","6 And Above","S5","Ratio",0
"2009-2010","S01001808","3","6 And Above","S6","Ratio",0
"2008-2009","S01001808","3","6 And Above","S6","Ratio",0
"2010-2011","S01001808","5","6 And Above","S6","Ratio",0
"2011-2012","S01001808","5","6 And Above","S6","Ratio",0
"2009-2010","S01001808","5","6 And Above","S6","Ratio",0
"2010-2011","S01001808","5","6 And Above","S5","Ratio",0
"2008-2009","S01001808","5","6 And Above","S5","Ratio",0
"2009-2010","S01001808","5","6 And Above","S5","Ratio",0
"2008-2009","S01001808","5","4 And Above","S4","Ratio",0
"2009-2010","S01001808","5","4 And Above","S4","Ratio",0
"2012-2013","S01001808","5","4 And Above","S4","Ratio",0
"2010-2011","S01001808","5","4 And Above","S4","Ratio",0
"2011-2012","S01001808","5","4 And Above","S4","Ratio",0
"2009-2010","S01001808","5","5 And Above","S4","Ratio",0
"2008-2009","S01001808","5","5 And Above","S4","Ratio",0
"2012-2013","S01001808","5","5 And Above","S4","Ratio",0
"2010-2011","S01001808","5","5 And Above","S4","Ratio",0
"2011-2012","S01001808","5","5 And Above","S4","Ratio",0
